sentence,prep_LEMMA,sentence_PP_attached,subj_NUM,subj_GEN,subj_ZIPF,obj_NUM,obj_GEN,obj_ZIPF,embedobj_NUM,embedobj_GEN,embedobj_ZIPF,intervener_NUM,intervener_GEN,verb_LEMMA
the woman sees the actress near the actors.,near,peripheral,sg,f,5.0,sg,f,4.0,pl,m,4.5,False,False,sees
the woman sees the actress behind the princess.,behind,peripheral,sg,f,5.0,sg,f,4.0,sg,f,4.5,False,False,sees
the woman sees the actress behind the man.,behind,peripheral,sg,f,5.0,sg,f,4.0,sg,m,5.5,False,False,sees
the woman sees the actress behind the prince.,behind,peripheral,sg,f,5.0,sg,f,4.0,sg,m,4.5,False,False,sees
the woman sees the actress behind the actor.,behind,peripheral,sg,f,5.0,sg,f,4.0,sg,m,4.5,False,False,sees
the woman sees the actress behind the princesses.,behind,peripheral,sg,f,5.0,sg,f,4.0,pl,f,4.5,False,False,sees
the woman sees the actress behind the men.,behind,peripheral,sg,f,5.0,sg,f,4.0,pl,m,5.5,False,False,sees
the woman sees the actress behind the princes.,behind,peripheral,sg,f,5.0,sg,f,4.0,pl,m,4.5,False,False,sees
the woman sees the actress behind the actors.,behind,peripheral,sg,f,5.0,sg,f,4.0,pl,m,4.5,False,False,sees
the woman sees the man near the princess.,near,peripheral,sg,f,5.0,sg,m,5.5,sg,f,4.5,False,False,sees
the woman sees the man near the actress.,near,peripheral,sg,f,5.0,sg,m,5.5,sg,f,4.0,False,False,sees
the woman sees the man near the prince.,near,peripheral,sg,f,5.0,sg,m,5.5,sg,m,4.5,False,False,sees
the woman sees the man near the actor.,near,peripheral,sg,f,5.0,sg,m,5.5,sg,m,4.5,False,False,sees
the woman sees the man near the princesses.,near,peripheral,sg,f,5.0,sg,m,5.5,pl,f,4.5,False,False,sees
the woman sees the man near the actresses.,near,peripheral,sg,f,5.0,sg,m,5.5,pl,f,4.0,False,False,sees
the woman sees the man near the princes.,near,peripheral,sg,f,5.0,sg,m,5.5,pl,m,4.5,False,False,sees
the woman sees the man near the actors.,near,peripheral,sg,f,5.0,sg,m,5.5,pl,m,4.5,False,False,sees
the woman sees the man behind the princess.,behind,peripheral,sg,f,5.0,sg,m,5.5,sg,f,4.5,False,False,sees
the woman sees the man behind the actress.,behind,peripheral,sg,f,5.0,sg,m,5.5,sg,f,4.0,False,False,sees
the woman sees the man behind the prince.,behind,peripheral,sg,f,5.0,sg,m,5.5,sg,m,4.5,False,False,sees
the woman sees the man behind the actor.,behind,peripheral,sg,f,5.0,sg,m,5.5,sg,m,4.5,False,False,sees
the woman sees the man behind the princesses.,behind,peripheral,sg,f,5.0,sg,m,5.5,pl,f,4.5,False,False,sees
the woman sees the man behind the actresses.,behind,peripheral,sg,f,5.0,sg,m,5.5,pl,f,4.0,False,False,sees
the woman sees the man behind the princes.,behind,peripheral,sg,f,5.0,sg,m,5.5,pl,m,4.5,False,False,sees
the woman sees the man behind the actors.,behind,peripheral,sg,f,5.0,sg,m,5.5,pl,m,4.5,False,False,sees
the woman sees the prince near the princess.,near,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.5,False,False,sees
the woman sees the prince near the actress.,near,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.0,False,False,sees
the woman sees the prince near the man.,near,peripheral,sg,f,5.0,sg,m,4.5,sg,m,5.5,False,False,sees
the woman sees the prince near the actor.,near,peripheral,sg,f,5.0,sg,m,4.5,sg,m,4.5,False,False,sees
the woman sees the prince near the princesses.,near,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.5,False,False,sees
the woman sees the prince near the actresses.,near,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.0,False,False,sees
the woman sees the prince near the men.,near,peripheral,sg,f,5.0,sg,m,4.5,pl,m,5.5,False,False,sees
the woman sees the prince near the actors.,near,peripheral,sg,f,5.0,sg,m,4.5,pl,m,4.5,False,False,sees
the woman sees the prince behind the princess.,behind,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.5,False,False,sees
the woman sees the prince behind the actress.,behind,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.0,False,False,sees
the woman sees the prince behind the man.,behind,peripheral,sg,f,5.0,sg,m,4.5,sg,m,5.5,False,False,sees
the woman sees the prince behind the actor.,behind,peripheral,sg,f,5.0,sg,m,4.5,sg,m,4.5,False,False,sees
the woman sees the prince behind the princesses.,behind,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.5,False,False,sees
the woman sees the prince behind the actresses.,behind,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.0,False,False,sees
the woman sees the prince behind the men.,behind,peripheral,sg,f,5.0,sg,m,4.5,pl,m,5.5,False,False,sees
the woman sees the prince behind the actors.,behind,peripheral,sg,f,5.0,sg,m,4.5,pl,m,4.5,False,False,sees
the woman sees the actor near the princess.,near,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.5,False,False,sees
the woman sees the actor near the actress.,near,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.0,False,False,sees
the woman sees the actor near the man.,near,peripheral,sg,f,5.0,sg,m,4.5,sg,m,5.5,False,False,sees
the woman sees the actor near the prince.,near,peripheral,sg,f,5.0,sg,m,4.5,sg,m,4.5,False,False,sees
the woman sees the actor near the princesses.,near,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.5,False,False,sees
the woman sees the actor near the actresses.,near,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.0,False,False,sees
the woman sees the actor near the men.,near,peripheral,sg,f,5.0,sg,m,4.5,pl,m,5.5,False,False,sees
the woman sees the actor near the princes.,near,peripheral,sg,f,5.0,sg,m,4.5,pl,m,4.5,False,False,sees
the woman sees the actor behind the princess.,behind,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.5,False,False,sees
the woman sees the actor behind the actress.,behind,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.0,False,False,sees
the woman sees the actor behind the man.,behind,peripheral,sg,f,5.0,sg,m,4.5,sg,m,5.5,False,False,sees
the woman sees the actor behind the prince.,behind,peripheral,sg,f,5.0,sg,m,4.5,sg,m,4.5,False,False,sees
the woman sees the actor behind the princesses.,behind,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.5,False,False,sees
the woman sees the actor behind the actresses.,behind,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.0,False,False,sees
the woman sees the actor behind the men.,behind,peripheral,sg,f,5.0,sg,m,4.5,pl,m,5.5,False,False,sees
the woman sees the actor behind the princes.,behind,peripheral,sg,f,5.0,sg,m,4.5,pl,m,4.5,False,False,sees
the woman sees the princesses near the actress.,near,peripheral,sg,f,5.0,pl,f,4.5,sg,f,4.0,False,False,sees
the woman sees the princesses near the man.,near,peripheral,sg,f,5.0,pl,f,4.5,sg,m,5.5,False,False,sees
the woman sees the princesses near the prince.,near,peripheral,sg,f,5.0,pl,f,4.5,sg,m,4.5,False,False,sees
the woman sees the princesses near the actor.,near,peripheral,sg,f,5.0,pl,f,4.5,sg,m,4.5,False,False,sees
the woman sees the princesses near the actresses.,near,peripheral,sg,f,5.0,pl,f,4.5,pl,f,4.0,False,False,sees
the woman sees the princesses near the men.,near,peripheral,sg,f,5.0,pl,f,4.5,pl,m,5.5,False,False,sees
the woman sees the princesses near the princes.,near,peripheral,sg,f,5.0,pl,f,4.5,pl,m,4.5,False,False,sees
the woman sees the princesses near the actors.,near,peripheral,sg,f,5.0,pl,f,4.5,pl,m,4.5,False,False,sees
the woman sees the princesses behind the actress.,behind,peripheral,sg,f,5.0,pl,f,4.5,sg,f,4.0,False,False,sees
the woman sees the princesses behind the man.,behind,peripheral,sg,f,5.0,pl,f,4.5,sg,m,5.5,False,False,sees
the woman sees the princesses behind the prince.,behind,peripheral,sg,f,5.0,pl,f,4.5,sg,m,4.5,False,False,sees
the woman sees the princesses behind the actor.,behind,peripheral,sg,f,5.0,pl,f,4.5,sg,m,4.5,False,False,sees
the woman sees the princesses behind the actresses.,behind,peripheral,sg,f,5.0,pl,f,4.5,pl,f,4.0,False,False,sees
the woman sees the princesses behind the men.,behind,peripheral,sg,f,5.0,pl,f,4.5,pl,m,5.5,False,False,sees
the woman sees the princesses behind the princes.,behind,peripheral,sg,f,5.0,pl,f,4.5,pl,m,4.5,False,False,sees
the woman sees the princesses behind the actors.,behind,peripheral,sg,f,5.0,pl,f,4.5,pl,m,4.5,False,False,sees
the woman sees the actresses near the princess.,near,peripheral,sg,f,5.0,pl,f,4.0,sg,f,4.5,False,False,sees
the woman sees the actresses near the man.,near,peripheral,sg,f,5.0,pl,f,4.0,sg,m,5.5,False,False,sees
the woman sees the actresses near the prince.,near,peripheral,sg,f,5.0,pl,f,4.0,sg,m,4.5,False,False,sees
the woman sees the actresses near the actor.,near,peripheral,sg,f,5.0,pl,f,4.0,sg,m,4.5,False,False,sees
the woman sees the actresses near the princesses.,near,peripheral,sg,f,5.0,pl,f,4.0,pl,f,4.5,False,False,sees
the woman sees the actresses near the men.,near,peripheral,sg,f,5.0,pl,f,4.0,pl,m,5.5,False,False,sees
the woman sees the actresses near the princes.,near,peripheral,sg,f,5.0,pl,f,4.0,pl,m,4.5,False,False,sees
the woman sees the actresses near the actors.,near,peripheral,sg,f,5.0,pl,f,4.0,pl,m,4.5,False,False,sees
the woman sees the actresses behind the princess.,behind,peripheral,sg,f,5.0,pl,f,4.0,sg,f,4.5,False,False,sees
the woman sees the actresses behind the man.,behind,peripheral,sg,f,5.0,pl,f,4.0,sg,m,5.5,False,False,sees
the woman sees the actresses behind the prince.,behind,peripheral,sg,f,5.0,pl,f,4.0,sg,m,4.5,False,False,sees
the woman sees the actresses behind the actor.,behind,peripheral,sg,f,5.0,pl,f,4.0,sg,m,4.5,False,False,sees
the woman sees the actresses behind the princesses.,behind,peripheral,sg,f,5.0,pl,f,4.0,pl,f,4.5,False,False,sees
the woman sees the actresses behind the men.,behind,peripheral,sg,f,5.0,pl,f,4.0,pl,m,5.5,False,False,sees
the woman sees the actresses behind the princes.,behind,peripheral,sg,f,5.0,pl,f,4.0,pl,m,4.5,False,False,sees
the woman sees the actresses behind the actors.,behind,peripheral,sg,f,5.0,pl,f,4.0,pl,m,4.5,False,False,sees
the woman sees the men near the princess.,near,peripheral,sg,f,5.0,pl,m,5.5,sg,f,4.5,False,False,sees
the woman sees the men near the actress.,near,peripheral,sg,f,5.0,pl,m,5.5,sg,f,4.0,False,False,sees
the woman sees the men near the prince.,near,peripheral,sg,f,5.0,pl,m,5.5,sg,m,4.5,False,False,sees
the woman sees the men near the actor.,near,peripheral,sg,f,5.0,pl,m,5.5,sg,m,4.5,False,False,sees
the woman sees the men near the princesses.,near,peripheral,sg,f,5.0,pl,m,5.5,pl,f,4.5,False,False,sees
the woman sees the men near the actresses.,near,peripheral,sg,f,5.0,pl,m,5.5,pl,f,4.0,False,False,sees
the woman sees the men near the princes.,near,peripheral,sg,f,5.0,pl,m,5.5,pl,m,4.5,False,False,sees
the woman sees the men near the actors.,near,peripheral,sg,f,5.0,pl,m,5.5,pl,m,4.5,False,False,sees
the woman sees the men behind the princess.,behind,peripheral,sg,f,5.0,pl,m,5.5,sg,f,4.5,False,False,sees
the woman sees the men behind the actress.,behind,peripheral,sg,f,5.0,pl,m,5.5,sg,f,4.0,False,False,sees
the woman sees the men behind the prince.,behind,peripheral,sg,f,5.0,pl,m,5.5,sg,m,4.5,False,False,sees
the woman sees the men behind the actor.,behind,peripheral,sg,f,5.0,pl,m,5.5,sg,m,4.5,False,False,sees
the woman sees the men behind the princesses.,behind,peripheral,sg,f,5.0,pl,m,5.5,pl,f,4.5,False,False,sees
the woman sees the men behind the actresses.,behind,peripheral,sg,f,5.0,pl,m,5.5,pl,f,4.0,False,False,sees
the woman sees the men behind the princes.,behind,peripheral,sg,f,5.0,pl,m,5.5,pl,m,4.5,False,False,sees
the woman sees the men behind the actors.,behind,peripheral,sg,f,5.0,pl,m,5.5,pl,m,4.5,False,False,sees
the woman sees the princes near the princess.,near,peripheral,sg,f,5.0,pl,m,4.5,sg,f,4.5,False,False,sees
the woman sees the princes near the actress.,near,peripheral,sg,f,5.0,pl,m,4.5,sg,f,4.0,False,False,sees
the woman sees the princes near the man.,near,peripheral,sg,f,5.0,pl,m,4.5,sg,m,5.5,False,False,sees
the woman sees the princes near the actor.,near,peripheral,sg,f,5.0,pl,m,4.5,sg,m,4.5,False,False,sees
the woman sees the princes near the princesses.,near,peripheral,sg,f,5.0,pl,m,4.5,pl,f,4.5,False,False,sees
the woman sees the princes near the actresses.,near,peripheral,sg,f,5.0,pl,m,4.5,pl,f,4.0,False,False,sees
the woman sees the princes near the men.,near,peripheral,sg,f,5.0,pl,m,4.5,pl,m,5.5,False,False,sees
the woman sees the princes near the actors.,near,peripheral,sg,f,5.0,pl,m,4.5,pl,m,4.5,False,False,sees
the woman sees the princes behind the princess.,behind,peripheral,sg,f,5.0,pl,m,4.5,sg,f,4.5,False,False,sees
the woman sees the princes behind the actress.,behind,peripheral,sg,f,5.0,pl,m,4.5,sg,f,4.0,False,False,sees
the woman sees the princes behind the man.,behind,peripheral,sg,f,5.0,pl,m,4.5,sg,m,5.5,False,False,sees
the woman sees the princes behind the actor.,behind,peripheral,sg,f,5.0,pl,m,4.5,sg,m,4.5,False,False,sees
the woman sees the princes behind the princesses.,behind,peripheral,sg,f,5.0,pl,m,4.5,pl,f,4.5,False,False,sees
the woman sees the princes behind the actresses.,behind,peripheral,sg,f,5.0,pl,m,4.5,pl,f,4.0,False,False,sees
the woman sees the princes behind the men.,behind,peripheral,sg,f,5.0,pl,m,4.5,pl,m,5.5,False,False,sees
the woman sees the princes behind the actors.,behind,peripheral,sg,f,5.0,pl,m,4.5,pl,m,4.5,False,False,sees
the woman sees the actors near the princess.,near,peripheral,sg,f,5.0,pl,m,4.5,sg,f,4.5,False,False,sees
the woman sees the actors near the actress.,near,peripheral,sg,f,5.0,pl,m,4.5,sg,f,4.0,False,False,sees
the woman sees the actors near the man.,near,peripheral,sg,f,5.0,pl,m,4.5,sg,m,5.5,False,False,sees
the woman sees the actors near the prince.,near,peripheral,sg,f,5.0,pl,m,4.5,sg,m,4.5,False,False,sees
the woman sees the actors near the princesses.,near,peripheral,sg,f,5.0,pl,m,4.5,pl,f,4.5,False,False,sees
the woman sees the actors near the actresses.,near,peripheral,sg,f,5.0,pl,m,4.5,pl,f,4.0,False,False,sees
the woman sees the actors near the men.,near,peripheral,sg,f,5.0,pl,m,4.5,pl,m,5.5,False,False,sees
the woman sees the actors near the princes.,near,peripheral,sg,f,5.0,pl,m,4.5,pl,m,4.5,False,False,sees
the woman sees the actors behind the princess.,behind,peripheral,sg,f,5.0,pl,m,4.5,sg,f,4.5,False,False,sees
the woman sees the actors behind the actress.,behind,peripheral,sg,f,5.0,pl,m,4.5,sg,f,4.0,False,False,sees
the woman sees the actors behind the man.,behind,peripheral,sg,f,5.0,pl,m,4.5,sg,m,5.5,False,False,sees
the woman sees the actors behind the prince.,behind,peripheral,sg,f,5.0,pl,m,4.5,sg,m,4.5,False,False,sees
the woman sees the actors behind the princesses.,behind,peripheral,sg,f,5.0,pl,m,4.5,pl,f,4.5,False,False,sees
the woman sees the actors behind the actresses.,behind,peripheral,sg,f,5.0,pl,m,4.5,pl,f,4.0,False,False,sees
the woman sees the actors behind the men.,behind,peripheral,sg,f,5.0,pl,m,4.5,pl,m,5.5,False,False,sees
the woman sees the actors behind the princes.,behind,peripheral,sg,f,5.0,pl,m,4.5,pl,m,4.5,False,False,sees
the woman admires the princess near the actress.,near,peripheral,sg,f,5.0,sg,f,4.5,sg,f,4.0,False,False,admires
the woman admires the princess near the man.,near,peripheral,sg,f,5.0,sg,f,4.5,sg,m,5.5,False,False,admires
the woman admires the princess near the prince.,near,peripheral,sg,f,5.0,sg,f,4.5,sg,m,4.5,False,False,admires
the woman admires the princess near the actor.,near,peripheral,sg,f,5.0,sg,f,4.5,sg,m,4.5,False,False,admires
the woman admires the princess near the actresses.,near,peripheral,sg,f,5.0,sg,f,4.5,pl,f,4.0,False,False,admires
the woman admires the princess near the men.,near,peripheral,sg,f,5.0,sg,f,4.5,pl,m,5.5,False,False,admires
the woman admires the princess near the princes.,near,peripheral,sg,f,5.0,sg,f,4.5,pl,m,4.5,False,False,admires
the woman admires the princess near the actors.,near,peripheral,sg,f,5.0,sg,f,4.5,pl,m,4.5,False,False,admires
the woman admires the princess behind the actress.,behind,peripheral,sg,f,5.0,sg,f,4.5,sg,f,4.0,False,False,admires
the woman admires the princess behind the man.,behind,peripheral,sg,f,5.0,sg,f,4.5,sg,m,5.5,False,False,admires
the woman admires the princess behind the prince.,behind,peripheral,sg,f,5.0,sg,f,4.5,sg,m,4.5,False,False,admires
the woman admires the princess behind the actor.,behind,peripheral,sg,f,5.0,sg,f,4.5,sg,m,4.5,False,False,admires
the woman admires the princess behind the actresses.,behind,peripheral,sg,f,5.0,sg,f,4.5,pl,f,4.0,False,False,admires
the woman admires the princess behind the men.,behind,peripheral,sg,f,5.0,sg,f,4.5,pl,m,5.5,False,False,admires
the woman admires the princess behind the princes.,behind,peripheral,sg,f,5.0,sg,f,4.5,pl,m,4.5,False,False,admires
the woman admires the princess behind the actors.,behind,peripheral,sg,f,5.0,sg,f,4.5,pl,m,4.5,False,False,admires
the woman admires the actress near the princess.,near,peripheral,sg,f,5.0,sg,f,4.0,sg,f,4.5,False,False,admires
the woman admires the actress near the man.,near,peripheral,sg,f,5.0,sg,f,4.0,sg,m,5.5,False,False,admires
the woman admires the actress near the prince.,near,peripheral,sg,f,5.0,sg,f,4.0,sg,m,4.5,False,False,admires
the woman admires the actress near the actor.,near,peripheral,sg,f,5.0,sg,f,4.0,sg,m,4.5,False,False,admires
the woman admires the actress near the princesses.,near,peripheral,sg,f,5.0,sg,f,4.0,pl,f,4.5,False,False,admires
the woman admires the actress near the men.,near,peripheral,sg,f,5.0,sg,f,4.0,pl,m,5.5,False,False,admires
the woman admires the actress near the princes.,near,peripheral,sg,f,5.0,sg,f,4.0,pl,m,4.5,False,False,admires
the woman admires the actress near the actors.,near,peripheral,sg,f,5.0,sg,f,4.0,pl,m,4.5,False,False,admires
the woman admires the actress behind the princess.,behind,peripheral,sg,f,5.0,sg,f,4.0,sg,f,4.5,False,False,admires
the woman admires the actress behind the man.,behind,peripheral,sg,f,5.0,sg,f,4.0,sg,m,5.5,False,False,admires
the woman admires the actress behind the prince.,behind,peripheral,sg,f,5.0,sg,f,4.0,sg,m,4.5,False,False,admires
the woman admires the actress behind the actor.,behind,peripheral,sg,f,5.0,sg,f,4.0,sg,m,4.5,False,False,admires
the woman admires the actress behind the princesses.,behind,peripheral,sg,f,5.0,sg,f,4.0,pl,f,4.5,False,False,admires
the woman admires the actress behind the men.,behind,peripheral,sg,f,5.0,sg,f,4.0,pl,m,5.5,False,False,admires
the woman admires the actress behind the princes.,behind,peripheral,sg,f,5.0,sg,f,4.0,pl,m,4.5,False,False,admires
the woman admires the actress behind the actors.,behind,peripheral,sg,f,5.0,sg,f,4.0,pl,m,4.5,False,False,admires
the woman admires the man near the princess.,near,peripheral,sg,f,5.0,sg,m,5.5,sg,f,4.5,False,False,admires
the woman admires the man near the actress.,near,peripheral,sg,f,5.0,sg,m,5.5,sg,f,4.0,False,False,admires
the woman admires the man near the prince.,near,peripheral,sg,f,5.0,sg,m,5.5,sg,m,4.5,False,False,admires
the woman admires the man near the actor.,near,peripheral,sg,f,5.0,sg,m,5.5,sg,m,4.5,False,False,admires
the woman admires the man near the princesses.,near,peripheral,sg,f,5.0,sg,m,5.5,pl,f,4.5,False,False,admires
the woman admires the man near the actresses.,near,peripheral,sg,f,5.0,sg,m,5.5,pl,f,4.0,False,False,admires
the woman admires the man near the princes.,near,peripheral,sg,f,5.0,sg,m,5.5,pl,m,4.5,False,False,admires
the woman admires the man near the actors.,near,peripheral,sg,f,5.0,sg,m,5.5,pl,m,4.5,False,False,admires
the woman admires the man behind the princess.,behind,peripheral,sg,f,5.0,sg,m,5.5,sg,f,4.5,False,False,admires
the woman admires the man behind the actress.,behind,peripheral,sg,f,5.0,sg,m,5.5,sg,f,4.0,False,False,admires
the woman admires the man behind the prince.,behind,peripheral,sg,f,5.0,sg,m,5.5,sg,m,4.5,False,False,admires
the woman admires the man behind the actor.,behind,peripheral,sg,f,5.0,sg,m,5.5,sg,m,4.5,False,False,admires
the woman admires the man behind the princesses.,behind,peripheral,sg,f,5.0,sg,m,5.5,pl,f,4.5,False,False,admires
the woman admires the man behind the actresses.,behind,peripheral,sg,f,5.0,sg,m,5.5,pl,f,4.0,False,False,admires
the woman admires the man behind the princes.,behind,peripheral,sg,f,5.0,sg,m,5.5,pl,m,4.5,False,False,admires
the woman admires the man behind the actors.,behind,peripheral,sg,f,5.0,sg,m,5.5,pl,m,4.5,False,False,admires
the woman admires the prince near the princess.,near,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.5,False,False,admires
the woman admires the prince near the actress.,near,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.0,False,False,admires
the woman admires the prince near the man.,near,peripheral,sg,f,5.0,sg,m,4.5,sg,m,5.5,False,False,admires
the woman admires the prince near the actor.,near,peripheral,sg,f,5.0,sg,m,4.5,sg,m,4.5,False,False,admires
the woman admires the prince near the princesses.,near,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.5,False,False,admires
the woman admires the prince near the actresses.,near,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.0,False,False,admires
the woman admires the prince near the men.,near,peripheral,sg,f,5.0,sg,m,4.5,pl,m,5.5,False,False,admires
the woman admires the prince near the actors.,near,peripheral,sg,f,5.0,sg,m,4.5,pl,m,4.5,False,False,admires
the woman admires the prince behind the princess.,behind,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.5,False,False,admires
the woman admires the prince behind the actress.,behind,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.0,False,False,admires
the woman admires the prince behind the man.,behind,peripheral,sg,f,5.0,sg,m,4.5,sg,m,5.5,False,False,admires
the woman admires the prince behind the actor.,behind,peripheral,sg,f,5.0,sg,m,4.5,sg,m,4.5,False,False,admires
the woman admires the prince behind the princesses.,behind,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.5,False,False,admires
the woman admires the prince behind the actresses.,behind,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.0,False,False,admires
the woman admires the prince behind the men.,behind,peripheral,sg,f,5.0,sg,m,4.5,pl,m,5.5,False,False,admires
the woman admires the prince behind the actors.,behind,peripheral,sg,f,5.0,sg,m,4.5,pl,m,4.5,False,False,admires
the woman admires the actor near the princess.,near,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.5,False,False,admires
the woman admires the actor near the actress.,near,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.0,False,False,admires
the woman admires the actor near the man.,near,peripheral,sg,f,5.0,sg,m,4.5,sg,m,5.5,False,False,admires
the woman admires the actor near the prince.,near,peripheral,sg,f,5.0,sg,m,4.5,sg,m,4.5,False,False,admires
the woman admires the actor near the princesses.,near,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.5,False,False,admires
the woman admires the actor near the actresses.,near,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.0,False,False,admires
the woman admires the actor near the men.,near,peripheral,sg,f,5.0,sg,m,4.5,pl,m,5.5,False,False,admires
the woman admires the actor near the princes.,near,peripheral,sg,f,5.0,sg,m,4.5,pl,m,4.5,False,False,admires
the woman admires the actor behind the princess.,behind,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.5,False,False,admires
the woman admires the actor behind the actress.,behind,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.0,False,False,admires
the woman admires the actor behind the man.,behind,peripheral,sg,f,5.0,sg,m,4.5,sg,m,5.5,False,False,admires
the woman admires the actor behind the prince.,behind,peripheral,sg,f,5.0,sg,m,4.5,sg,m,4.5,False,False,admires
the woman admires the actor behind the princesses.,behind,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.5,False,False,admires
the woman admires the actor behind the actresses.,behind,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.0,False,False,admires
the woman admires the actor behind the men.,behind,peripheral,sg,f,5.0,sg,m,4.5,pl,m,5.5,False,False,admires
the woman admires the actor behind the princes.,behind,peripheral,sg,f,5.0,sg,m,4.5,pl,m,4.5,False,False,admires
the woman admires the princesses near the actress.,near,peripheral,sg,f,5.0,pl,f,4.5,sg,f,4.0,False,False,admires
the woman admires the princesses near the man.,near,peripheral,sg,f,5.0,pl,f,4.5,sg,m,5.5,False,False,admires
the woman admires the princesses near the prince.,near,peripheral,sg,f,5.0,pl,f,4.5,sg,m,4.5,False,False,admires
the woman admires the princesses near the actor.,near,peripheral,sg,f,5.0,pl,f,4.5,sg,m,4.5,False,False,admires
the woman admires the princesses near the actresses.,near,peripheral,sg,f,5.0,pl,f,4.5,pl,f,4.0,False,False,admires
