sentence,sentence_GROUP,subj_TYPE,subj_ANIM,subj_GEN,subj_NUM,subj_PERS,subj_ZIPF,sentence_TENSE,verb_ZIPF
the princes fall.,sv,N,True,m,pl,3,4.5,pres,4.5
the princes disappear.,sv,N,True,m,pl,3,4.5,pres,3.5
the princes vanish.,sv,N,True,m,pl,3,4.5,pres,3.0
the princes fell.,sv,N,True,m,pl,3,4.5,past,4.5
the princes disappeared.,sv,N,True,m,pl,3,4.5,past,3.5
the princes vanished.,sv,N,True,m,pl,3,4.5,past,3.0
the actors play.,sv,N,True,m,pl,3,4.5,pres,4.5
the actors sing.,sv,N,True,m,pl,3,4.5,pres,3.5
the actors sneeze.,sv,N,True,m,pl,3,4.5,pres,2.5
the actors played.,sv,N,True,m,pl,3,4.5,past,4.5
the actors sang.,sv,N,True,m,pl,3,4.5,past,3.5
the actors sneezed.,sv,N,True,m,pl,3,4.5,past,2.5
the actors fall.,sv,N,True,m,pl,3,4.5,pres,4.5
the actors disappear.,sv,N,True,m,pl,3,4.5,pres,3.5
the actors vanish.,sv,N,True,m,pl,3,4.5,pres,3.0
the actors fell.,sv,N,True,m,pl,3,4.5,past,4.5
the actors disappeared.,sv,N,True,m,pl,3,4.5,past,3.5
the actors vanished.,sv,N,True,m,pl,3,4.5,past,3.0
the book falls.,sv,N,False,,sg,3,5.0,pres,4.5
the book disappears.,sv,N,False,,sg,3,5.0,pres,3.5
the book vanishes.,sv,N,False,,sg,3,5.0,pres,3.0
the book fell.,sv,N,False,,sg,3,5.0,past,4.5
the book disappeared.,sv,N,False,,sg,3,5.0,past,3.5
the book vanished.,sv,N,False,,sg,3,5.0,past,3.0
the plate falls.,sv,N,False,,sg,3,4.5,pres,4.5
the plate disappears.,sv,N,False,,sg,3,4.5,pres,3.5
the plate vanishes.,sv,N,False,,sg,3,4.5,pres,3.0
the plate fell.,sv,N,False,,sg,3,4.5,past,4.5
the plate disappeared.,sv,N,False,,sg,3,4.5,past,3.5
the plate vanished.,sv,N,False,,sg,3,4.5,past,3.0
the pencil falls.,sv,N,False,,sg,3,3.5,pres,4.5
the pencil disappears.,sv,N,False,,sg,3,3.5,pres,3.5
the pencil vanishes.,sv,N,False,,sg,3,3.5,pres,3.0
the pencil fell.,sv,N,False,,sg,3,3.5,past,4.5
the pencil disappeared.,sv,N,False,,sg,3,3.5,past,3.5
the pencil vanished.,sv,N,False,,sg,3,3.5,past,3.0
the books fall.,sv,N,False,,pl,3,5.0,pres,4.5
the books disappear.,sv,N,False,,pl,3,5.0,pres,3.5
the books vanish.,sv,N,False,,pl,3,5.0,pres,3.0
the books fell.,sv,N,False,,pl,3,5.0,past,4.5
the books disappeared.,sv,N,False,,pl,3,5.0,past,3.5
the books vanished.,sv,N,False,,pl,3,5.0,past,3.0
the plates fall.,sv,N,False,,pl,3,4.5,pres,4.5
the plates disappear.,sv,N,False,,pl,3,4.5,pres,3.5
the plates vanish.,sv,N,False,,pl,3,4.5,pres,3.0
the plates fell.,sv,N,False,,pl,3,4.5,past,4.5
the plates disappeared.,sv,N,False,,pl,3,4.5,past,3.5
the plates vanished.,sv,N,False,,pl,3,4.5,past,3.0
the pencils fall.,sv,N,False,,pl,3,3.5,pres,4.5
the pencils disappear.,sv,N,False,,pl,3,3.5,pres,3.5
the pencils vanish.,sv,N,False,,pl,3,3.5,pres,3.0
the pencils fell.,sv,N,False,,pl,3,3.5,past,4.5
the pencils disappeared.,sv,N,False,,pl,3,3.5,past,3.5
the pencils vanished.,sv,N,False,,pl,3,3.5,past,3.0
I play.,sv,PRO,True,,sg,1,7.0,pres,4.5
I sing.,sv,PRO,True,,sg,1,7.0,pres,3.5
I sneeze.,sv,PRO,True,,sg,1,7.0,pres,2.5
I played.,sv,PRO,True,,sg,1,7.0,past,4.5
I sang.,sv,PRO,True,,sg,1,7.0,past,3.5
I sneezed.,sv,PRO,True,,sg,1,7.0,past,2.5
I fall.,sv,PRO,True,,sg,1,7.0,pres,4.5
I disappear.,sv,PRO,True,,sg,1,7.0,pres,3.5
I vanish.,sv,PRO,True,,sg,1,7.0,pres,3.0
I fell.,sv,PRO,True,,sg,1,7.0,past,4.5
I disappeared.,sv,PRO,True,,sg,1,7.0,past,3.5
I vanished.,sv,PRO,True,,sg,1,7.0,past,3.0
you play.,sv,PRO,True,,,2,6.5,pres,4.5
you sing.,sv,PRO,True,,,2,6.5,pres,3.5
you sneeze.,sv,PRO,True,,,2,6.5,pres,2.5
you played.,sv,PRO,True,,,2,6.5,past,4.5
you sang.,sv,PRO,True,,,2,6.5,past,3.5
you sneezed.,sv,PRO,True,,,2,6.5,past,2.5
you fall.,sv,PRO,True,,,2,6.5,pres,4.5
you disappear.,sv,PRO,True,,,2,6.5,pres,3.5
you vanish.,sv,PRO,True,,,2,6.5,pres,3.0
you fell.,sv,PRO,True,,,2,6.5,past,4.5
you disappeared.,sv,PRO,True,,,2,6.5,past,3.5
you vanished.,sv,PRO,True,,,2,6.5,past,3.0
he plays.,sv,PRO,True,m,sg,3,6.5,pres,4.5
he sings.,sv,PRO,True,m,sg,3,6.5,pres,3.5
he sneezes.,sv,PRO,True,m,sg,3,6.5,pres,2.5
he played.,sv,PRO,True,m,sg,3,6.5,past,4.5
he sang.,sv,PRO,True,m,sg,3,6.5,past,3.5
he sneezed.,sv,PRO,True,m,sg,3,6.5,past,2.5
he falls.,sv,PRO,True,m,sg,3,6.5,pres,4.5
he disappears.,sv,PRO,True,m,sg,3,6.5,pres,3.5
he vanishes.,sv,PRO,True,m,sg,3,6.5,pres,3.0
he fell.,sv,PRO,True,m,sg,3,6.5,past,4.5
he disappeared.,sv,PRO,True,m,sg,3,6.5,past,3.5
he vanished.,sv,PRO,True,m,sg,3,6.5,past,3.0
she plays.,sv,PRO,True,f,sg,3,6.0,pres,4.5
she sings.,sv,PRO,True,f,sg,3,6.0,pres,3.5
she sneezes.,sv,PRO,True,f,sg,3,6.0,pres,2.5
she played.,sv,PRO,True,f,sg,3,6.0,past,4.5
she sang.,sv,PRO,True,f,sg,3,6.0,past,3.5
she sneezed.,sv,PRO,True,f,sg,3,6.0,past,2.5
she falls.,sv,PRO,True,f,sg,3,6.0,pres,4.5
she disappears.,sv,PRO,True,f,sg,3,6.0,pres,3.5
she vanishes.,sv,PRO,True,f,sg,3,6.0,pres,3.0
she fell.,sv,PRO,True,f,sg,3,6.0,past,4.5
she disappeared.,sv,PRO,True,f,sg,3,6.0,past,3.5
she vanished.,sv,PRO,True,f,sg,3,6.0,past,3.0
it falls.,sv,PRO,False,,sg,3,6.5,pres,4.5
it disappears.,sv,PRO,False,,sg,3,6.5,pres,3.5
it vanishes.,sv,PRO,False,,sg,3,6.5,pres,3.0
it fell.,sv,PRO,False,,sg,3,6.5,past,4.5
it disappeared.,sv,PRO,False,,sg,3,6.5,past,3.5
it vanished.,sv,PRO,False,,sg,3,6.5,past,3.0
we play.,sv,PRO,True,,pl,1,6.5,pres,4.5
we sing.,sv,PRO,True,,pl,1,6.5,pres,3.5
we sneeze.,sv,PRO,True,,pl,1,6.5,pres,2.5
we played.,sv,PRO,True,,pl,1,6.5,past,4.5
we sang.,sv,PRO,True,,pl,1,6.5,past,3.5
we sneezed.,sv,PRO,True,,pl,1,6.5,past,2.5
we fall.,sv,PRO,True,,pl,1,6.5,pres,4.5
we disappear.,sv,PRO,True,,pl,1,6.5,pres,3.5
we vanish.,sv,PRO,True,,pl,1,6.5,pres,3.0
we fell.,sv,PRO,True,,pl,1,6.5,past,4.5
we disappeared.,sv,PRO,True,,pl,1,6.5,past,3.5
we vanished.,sv,PRO,True,,pl,1,6.5,past,3.0
they play.,sv,PRO,True,,pl,3,6.5,pres,4.5
they sing.,sv,PRO,True,,pl,3,6.5,pres,3.5
they sneeze.,sv,PRO,True,,pl,3,6.5,pres,2.5
they played.,sv,PRO,True,,pl,3,6.5,past,4.5
they sang.,sv,PRO,True,,pl,3,6.5,past,3.5
they sneezed.,sv,PRO,True,,pl,3,6.5,past,2.5
they fall.,sv,PRO,True,,pl,3,6.5,pres,4.5
they disappear.,sv,PRO,True,,pl,3,6.5,pres,3.5
they vanish.,sv,PRO,True,,pl,3,6.5,pres,3.0
they fell.,sv,PRO,True,,pl,3,6.5,past,4.5
they disappeared.,sv,PRO,True,,pl,3,6.5,past,3.5
they vanished.,sv,PRO,True,,pl,3,6.5,past,3.0
who plays?,question,PRO,True,,,3,6.0,pres,4.5
who sings?,question,PRO,True,,,3,6.0,pres,3.5
who sneezes?,question,PRO,True,,,3,6.0,pres,2.5
who played?,question,PRO,True,,,3,6.0,past,4.5
who sang?,question,PRO,True,,,3,6.0,past,3.5
who sneezed?,question,PRO,True,,,3,6.0,past,2.5
who falls?,question,PRO,True,,,3,6.0,pres,4.5
who disappears?,question,PRO,True,,,3,6.0,pres,3.5
who vanishes?,question,PRO,True,,,3,6.0,pres,3.0
who fell?,question,PRO,True,,,3,6.0,past,4.5
who disappeared?,question,PRO,True,,,3,6.0,past,3.5
who vanished?,question,PRO,True,,,3,6.0,past,3.0
which woman plays?,question,N,True,f,sg,3,5.0,pres,4.5
which woman sings?,question,N,True,f,sg,3,5.0,pres,3.5
which woman sneezes?,question,N,True,f,sg,3,5.0,pres,2.5
which woman played?,question,N,True,f,sg,3,5.0,past,4.5
which woman sang?,question,N,True,f,sg,3,5.0,past,3.5
which woman sneezed?,question,N,True,f,sg,3,5.0,past,2.5
which woman falls?,question,N,True,f,sg,3,5.0,pres,4.5
which woman disappears?,question,N,True,f,sg,3,5.0,pres,3.5
which woman vanishes?,question,N,True,f,sg,3,5.0,pres,3.0
which woman fell?,question,N,True,f,sg,3,5.0,past,4.5
which woman disappeared?,question,N,True,f,sg,3,5.0,past,3.5
which woman vanished?,question,N,True,f,sg,3,5.0,past,3.0
which princess plays?,question,N,True,f,sg,3,4.5,pres,4.5
which princess sings?,question,N,True,f,sg,3,4.5,pres,3.5
which princess sneezes?,question,N,True,f,sg,3,4.5,pres,2.5
which princess played?,question,N,True,f,sg,3,4.5,past,4.5
which princess sang?,question,N,True,f,sg,3,4.5,past,3.5
which princess sneezed?,question,N,True,f,sg,3,4.5,past,2.5
which princess falls?,question,N,True,f,sg,3,4.5,pres,4.5
which princess disappears?,question,N,True,f,sg,3,4.5,pres,3.5
which princess vanishes?,question,N,True,f,sg,3,4.5,pres,3.0
which princess fell?,question,N,True,f,sg,3,4.5,past,4.5
which princess disappeared?,question,N,True,f,sg,3,4.5,past,3.5
which princess vanished?,question,N,True,f,sg,3,4.5,past,3.0
which actress plays?,question,N,True,f,sg,3,4.0,pres,4.5
which actress sings?,question,N,True,f,sg,3,4.0,pres,3.5
which actress sneezes?,question,N,True,f,sg,3,4.0,pres,2.5
which actress played?,question,N,True,f,sg,3,4.0,past,4.5
which actress sang?,question,N,True,f,sg,3,4.0,past,3.5
which actress sneezed?,question,N,True,f,sg,3,4.0,past,2.5
which actress falls?,question,N,True,f,sg,3,4.0,pres,4.5
which actress disappears?,question,N,True,f,sg,3,4.0,pres,3.5
which actress vanishes?,question,N,True,f,sg,3,4.0,pres,3.0
which actress fell?,question,N,True,f,sg,3,4.0,past,4.5
which actress disappeared?,question,N,True,f,sg,3,4.0,past,3.5
which actress vanished?,question,N,True,f,sg,3,4.0,past,3.0
which man plays?,question,N,True,m,sg,3,5.5,pres,4.5
which man sings?,question,N,True,m,sg,3,5.5,pres,3.5
which man sneezes?,question,N,True,m,sg,3,5.5,pres,2.5
which man played?,question,N,True,m,sg,3,5.5,past,4.5
which man sang?,question,N,True,m,sg,3,5.5,past,3.5
which man sneezed?,question,N,True,m,sg,3,5.5,past,2.5
which man falls?,question,N,True,m,sg,3,5.5,pres,4.5
which man disappears?,question,N,True,m,sg,3,5.5,pres,3.5
which man vanishes?,question,N,True,m,sg,3,5.5,pres,3.0
which man fell?,question,N,True,m,sg,3,5.5,past,4.5
which man disappeared?,question,N,True,m,sg,3,5.5,past,3.5
which man vanished?,question,N,True,m,sg,3,5.5,past,3.0
which prince plays?,question,N,True,m,sg,3,4.5,pres,4.5
which prince sings?,question,N,True,m,sg,3,4.5,pres,3.5
which prince sneezes?,question,N,True,m,sg,3,4.5,pres,2.5
which prince played?,question,N,True,m,sg,3,4.5,past,4.5
which prince sang?,question,N,True,m,sg,3,4.5,past,3.5
which prince sneezed?,question,N,True,m,sg,3,4.5,past,2.5
which prince falls?,question,N,True,m,sg,3,4.5,pres,4.5
which prince disappears?,question,N,True,m,sg,3,4.5,pres,3.5
which prince vanishes?,question,N,True,m,sg,3,4.5,pres,3.0
which prince fell?,question,N,True,m,sg,3,4.5,past,4.5
which prince disappeared?,question,N,True,m,sg,3,4.5,past,3.5
which prince vanished?,question,N,True,m,sg,3,4.5,past,3.0
which actor plays?,question,N,True,m,sg,3,4.5,pres,4.5
which actor sings?,question,N,True,m,sg,3,4.5,pres,3.5
which actor sneezes?,question,N,True,m,sg,3,4.5,pres,2.5
which actor played?,question,N,True,m,sg,3,4.5,past,4.5
which actor sang?,question,N,True,m,sg,3,4.5,past,3.5
which actor sneezed?,question,N,True,m,sg,3,4.5,past,2.5
which actor falls?,question,N,True,m,sg,3,4.5,pres,4.5
which actor disappears?,question,N,True,m,sg,3,4.5,pres,3.5
which actor vanishes?,question,N,True,m,sg,3,4.5,pres,3.0
which actor fell?,question,N,True,m,sg,3,4.5,past,4.5
which actor disappeared?,question,N,True,m,sg,3,4.5,past,3.5
which actor vanished?,question,N,True,m,sg,3,4.5,past,3.0
which women play?,question,N,True,f,pl,3,5.0,pres,4.5
which women sing?,question,N,True,f,pl,3,5.0,pres,3.5
which women sneeze?,question,N,True,f,pl,3,5.0,pres,2.5
which women played?,question,N,True,f,pl,3,5.0,past,4.5
which women sang?,question,N,True,f,pl,3,5.0,past,3.5
which women sneezed?,question,N,True,f,pl,3,5.0,past,2.5
which women fall?,question,N,True,f,pl,3,5.0,pres,4.5
which women disappear?,question,N,True,f,pl,3,5.0,pres,3.5
which women vanish?,question,N,True,f,pl,3,5.0,pres,3.0
which women fell?,question,N,True,f,pl,3,5.0,past,4.5
which women disappeared?,question,N,True,f,pl,3,5.0,past,3.5
which women vanished?,question,N,True,f,pl,3,5.0,past,3.0
which princesses play?,question,N,True,f,pl,3,4.5,pres,4.5
which princesses sing?,question,N,True,f,pl,3,4.5,pres,3.5
which princesses sneeze?,question,N,True,f,pl,3,4.5,pres,2.5
which princesses played?,question,N,True,f,pl,3,4.5,past,4.5
which princesses sang?,question,N,True,f,pl,3,4.5,past,3.5
which princesses sneezed?,question,N,True,f,pl,3,4.5,past,2.5
which princesses fall?,question,N,True,f,pl,3,4.5,pres,4.5
which princesses disappear?,question,N,True,f,pl,3,4.5,pres,3.5
