sentence,sentence_GROUP,subj_type,subj_PERS,subj_NUM,subj_GEN,subj_ANIM,verb_type,verb_PERS,verb_NUM,verb_finite,has_main,has_embed,has_objrel,has_relative_clause,has_subjrel,incongruence_poss_subj_count,incongruence_poss_obj_count,incongruence_subj_obj_count,incongruence_subj_embedsubj_count,rel_type,clause_type,bound_variable,mean_zipf,sentence_length,long_range_agreement_with_attractor
John fell.,sv,PropN,3.0,sg,m,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,3,
John sees Mary.,svo,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
John sees the woman.,svo,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
John sees the man.,svo,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,5,
John sees the women.,svo,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,5,
John sees the men.,svo,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
John sees the book.,svo,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
John sees the books.,svo,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,5,
John sees every woman.,svo,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
John sees every man.,svo,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,5,
John sees all women.,svo,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,5,
John sees all men.,svo,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
John sees me.,svo,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
John sees you.,svo,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
John sees him.,svo,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,4,
John sees her.,svo,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
John sees it.,svo,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
John sees us.,svo,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,4,
John sees them.,svo,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
John sees himself.,binding_reflexives,PropN,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,4,
John saw Mary.,svo,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
John saw the woman.,svo,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
John saw the man.,svo,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
John saw the women.,svo,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
John saw the men.,svo,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
John saw the book.,svo,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
John saw the books.,svo,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
John saw every woman.,svo,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
John saw every man.,svo,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
John saw all women.,svo,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
John saw all men.,svo,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
John saw me.,svo,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
John saw you.,svo,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
John saw him.,svo,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,4,
John saw her.,svo,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
John saw it.,svo,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
John saw us.,svo,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,4,
John saw them.,svo,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
John saw himself.,binding_reflexives,PropN,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,4,
the woman plays.,sv,N,3.0,sg,f,True,Intrans,3.0,sg,True,False,False,False,False,False,,,,,,,,5.0,4,
the woman played.,sv,N,3.0,sg,f,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,4,
the woman falls.,sv,N,3.0,sg,f,True,Intrans,3.0,sg,True,False,False,False,False,False,,,,,,,,4.0,4,
the woman fell.,sv,N,3.0,sg,f,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,4,
the woman sees Mary.,svo,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,5,
the woman sees John.,svo,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
the woman sees the man.,svo,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,6,
the woman sees the men.,svo,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,6,
the woman sees the book.,svo,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,6,
the woman sees the books.,svo,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,6,
the woman sees every man.,svo,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,6,
the woman sees all men.,svo,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,6,
the woman sees me.,svo,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
the woman sees you.,svo,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
the woman sees him.,svo,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
the woman sees her.,svo,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,5,
the woman sees it.,svo,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
the woman sees us.,svo,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,5,
the woman sees them.,svo,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
the woman sees herself.,binding_reflexives,N,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,5,
the woman saw Mary.,svo,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the woman saw John.,svo,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the woman saw the man.,svo,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the woman saw the men.,svo,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the woman saw the book.,svo,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the woman saw the books.,svo,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the woman saw every man.,svo,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the woman saw all men.,svo,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the woman saw me.,svo,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the woman saw you.,svo,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the woman saw him.,svo,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the woman saw her.,svo,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the woman saw it.,svo,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the woman saw us.,svo,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the woman saw them.,svo,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the woman saw herself.,binding_reflexives,N,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the man plays.,sv,N,3.0,sg,m,True,Intrans,3.0,sg,True,False,False,False,False,False,,,,,,,,5.0,4,
the man played.,sv,N,3.0,sg,m,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,4,
the man falls.,sv,N,3.0,sg,m,True,Intrans,3.0,sg,True,False,False,False,False,False,,,,,,,,5.0,4,
the man fell.,sv,N,3.0,sg,m,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,4,
the man sees Mary.,svo,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man sees John.,svo,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the man sees the woman.,svo,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the man sees the women.,svo,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the man sees the book.,svo,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the man sees the books.,svo,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the man sees every woman.,svo,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the man sees all women.,svo,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the man sees me.,svo,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man sees you.,svo,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man sees him.,svo,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the man sees her.,svo,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man sees it.,svo,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man sees us.,svo,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the man sees them.,svo,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man sees himself.,binding_reflexives,N,3.0,sg,m,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the man saw Mary.,svo,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man saw John.,svo,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the man saw the woman.,svo,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the man saw the women.,svo,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the man saw the book.,svo,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the man saw the books.,svo,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the man saw every woman.,svo,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the man saw all women.,svo,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the man saw me.,svo,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man saw you.,svo,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man saw him.,svo,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the man saw her.,svo,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man saw it.,svo,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man saw us.,svo,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the man saw them.,svo,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the man saw himself.,binding_reflexives,N,3.0,sg,m,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the women play.,sv,N,3.0,pl,f,True,Intrans,,pl,True,False,False,False,False,False,,,,,,,,5.0,4,
the women played.,sv,N,3.0,pl,f,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,4,
the women fall.,sv,N,3.0,pl,f,True,Intrans,,pl,True,False,False,False,False,False,,,,,,,,5.0,4,
the women fell.,sv,N,3.0,pl,f,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,4,
the women see Mary.,svo,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the women see John.,svo,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the women see the man.,svo,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the women see the men.,svo,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the women see the book.,svo,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the women see the books.,svo,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the women see every man.,svo,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the women see all men.,svo,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the women see me.,svo,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the women see you.,svo,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the women see him.,svo,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the women see her.,svo,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the women see it.,svo,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the women see us.,svo,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the women see them.,svo,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the women see themselves.,binding_reflexives,N,3.0,pl,f,True,Trans,,pl,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the women saw Mary.,svo,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the women saw John.,svo,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the women saw the man.,svo,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the women saw the men.,svo,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the women saw the book.,svo,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the women saw the books.,svo,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the women saw every man.,svo,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the women saw all men.,svo,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the women saw me.,svo,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the women saw you.,svo,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the women saw him.,svo,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the women saw her.,svo,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the women saw it.,svo,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the women saw us.,svo,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the women saw them.,svo,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the women saw themselves.,binding_reflexives,N,3.0,pl,f,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the men play.,sv,N,3.0,pl,m,True,Intrans,,pl,True,False,False,False,False,False,,,,,,,,5.0,4,
the men played.,sv,N,3.0,pl,m,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,4,
the men fall.,sv,N,3.0,pl,m,True,Intrans,,pl,True,False,False,False,False,False,,,,,,,,5.0,4,
the men fell.,sv,N,3.0,pl,m,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,4,
the men see Mary.,svo,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the men see John.,svo,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the men see the woman.,svo,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the men see the women.,svo,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the men see the book.,svo,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the men see the books.,svo,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the men see every woman.,svo,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the men see all women.,svo,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the men see me.,svo,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the men see you.,svo,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the men see him.,svo,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the men see her.,svo,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the men see it.,svo,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the men see us.,svo,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the men see them.,svo,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the men see themselves.,binding_reflexives,N,3.0,pl,m,True,Trans,,pl,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
the men saw Mary.,svo,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
the men saw John.,svo,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
the men saw the woman.,svo,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the men saw the women.,svo,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the men saw the book.,svo,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the men saw the books.,svo,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the men saw every woman.,svo,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,6,
the men saw all women.,svo,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,6,
the men saw me.,svo,N,3.0,pl,m,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
